id;hotel_address;customer_address;discount;price;duration;billing_date;cancled;booking_id
1;Sachsen-Anhalt Focused;Table;0.9;89234;2;2022-11-16;false;1
2;calculating;invoice;0.9;79862;3;2022-11-16;true;2
3;bypassing national Frozen;streamline quantify;0.9;48352;4;2022-11-17;true;3
4;Incredible Bhutanese;program 1080p Horizontal;0.9;95348;1;2022-11-17;true;4
5;back-end synergy transmitting;Buckinghamshire strategic Krona;0.9;92472;2;2022-11-17;false;5
6;Armenian HTTP sticky;Hamburg;0.9;32278;3;2022-11-17;false;6
7;Lead Well;Agent Towels Groves;0.9;97975;5;2022-11-16;true;7
8;Kaimaninseln;auxiliary;0.9;80897;2;2022-11-17;false;8
9;Customer;Cotton back;0.9;34085;1;2022-11-17;true;9
10;Irak;index array;0.9;4123;2;2022-11-16;true;10
